,name,Lat,Lng,temp,temp_max,humidity,clouds,speed
0,Tucson,32.2217,-110.9265,91.18,94.23,44,0,11.5
1,Saint-Philippe,-21.3585,55.7679,66.54,67.59,75,35,11.63
2,Sistranda,63.7256,8.834,62.56,62.56,77,79,12.3
3,Glenwood Springs,39.5505,-107.3248,76.68,89.89,31,0,0.0
4,Vostok,46.4856,135.8833,64.22,64.22,54,23,1.72
5,Mataura,-46.1927,168.8643,49.48,49.48,58,100,1.9
6,Bethel,41.3712,-73.414,77.02,81.75,67,100,0.0
7,Lebu,-37.6167,-73.65,46.87,46.87,78,22,17.9
8,Barrow,71.2906,-156.7887,41.02,41.02,100,100,5.75
9,Takoradze,4.8845,-1.7554,73.33,73.33,87,11,4.07
10,Yellowknife,62.456,-114.3525,68.52,68.52,56,75,6.91
11,Kapaa,22.0752,-159.319,82.2,86.32,73,40,10.36
12,Puerto Palomas,31.7667,-107.6167,78.85,78.85,46,98,13.62
13,Norman Wells,65.282,-126.8329,69.84,69.84,64,75,4.61
14,Rikitea,-23.1203,-134.9692,69.21,69.21,66,80,16.89
15,Logansport,40.7545,-86.3567,79.45,81.21,58,5,7.14
16,Khatanga,71.9667,102.5,46.26,46.26,79,100,12.12
17,Butaritari,3.0707,172.7902,81.66,81.66,67,16,4.65
18,Vaini,-21.2,-175.2,77.16,77.16,83,40,11.5
19,Hithadhoo,-0.6,73.0833,81.07,81.07,74,99,5.82
20,Jamestown,42.097,-79.2353,72.5,73.04,72,0,4.61
21,Hobart,-42.8794,147.3294,55.27,57.25,73,75,4.61
22,Hermanus,-34.4187,19.2345,58.8,58.8,74,13,27.13
23,Dingle,10.9995,122.6711,81.59,81.59,83,65,3.96
24,Airai,-8.9266,125.4092,63.05,63.05,67,93,5.55
25,Los Llanos de Aridane,28.6585,-17.9182,69.55,69.55,73,100,12.66
26,Laguna,38.421,-121.4238,96.94,105.31,26,0,10.36
27,Granada,37.1882,-3.6067,74.23,75.9,48,0,0.0
28,São João da Barra,-21.6403,-41.0511,69.53,69.53,84,61,18.88
29,Pierre,44.3683,-100.351,81.52,81.52,57,0,17.27
30,Busselton,-33.65,115.3333,53.13,53.13,66,98,6.04
31,Sabang,5.8933,95.3214,80.15,80.15,80,100,22.3
32,Pozhva,59.0912,56.0847,61.83,61.83,84,36,5.79
33,Yar-Sale,66.8333,70.8333,51.66,51.66,72,59,20.94
34,Muravlenko,63.7898,74.523,51.4,51.4,76,30,16.58
35,Oranjemund,-28.55,16.4333,58.33,58.33,86,99,13.06
36,Atuona,-9.8,-139.0333,76.98,76.98,70,75,10.8
